Timestamp,A1 What is your age?,A2 What is your sexual orientation?,A2.1 What is your gender identity?,A3 Where do you currently live?,"A4 In your own words, why do you use Bumble?",A5 How often do you use Bumble?,A6 How long have you been using Bumble,A7 Have you ever paid for a bumble feature— whether in the past or recently?,"A8 If yes, which feature(s) did you pay for? (Select all that apply) If no, check None only.","A9 On a scale of 1 to 4, how would you rate your satisfaction in using Bumble so far?

1 - Very dissatisfied
2 - Dissatisfied
3 - Satisfied
4 - Very satisfied
",A10 What type of connection do you use Bumble the most for?,"D1 When seeking dating opportunities on Bumble, do you have a specific goal in mind? (Select one/all that apply)",D2 Do you use your real name when creating a dating account in Bumble?,"D3 On the previous question, briefly explain why you do/do not use your real name?",D4 How many matches (on average) do you typically make in a week?,D5 How do you approach the swiping feature on Bumble personally?,"D6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference?",D7 What type of people do you usually look for in Bumble Dating?,D8 What type of people do you prefer to date?,D9 Do you first move or first message someone you've matched with on Bumble?,"D10 For the previous question, why or why not?",D11 What is/are the biggest challenge/s you face when looking for dates on Bumble?,D12 What are your biggest dislikes when interacting with people you've matched with?,"D13 In a scale of 1 to 5, rate on how Bumble affected your social life.","D14 In a scale of 1 to 5, rate on how Bumble affected your self-confidence.",D15 Share what learning experience/s you've learned by using Bumble to find a date or love as a student.,"B1 When finding friends on Bumble, do you have a specific goal in mind? (Select one/all that apply)",B2 Do you use your real name when creating a BFF account in Bumble?,"B3 On the previous question, briefly explain why you do/do not use your real name? ",B4 How many matches (on average) do you typically make in a week?,B5 How do you approach the swiping feature on Bumble personally?,"B6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference? ",B7 What type of people do you usually look for in Bumble BFF?,B8 What type of people do you prefer to become friends with?,B9 Do you first move or first message someone you've matched with on Bumble? ,"B10 For the previous question, why or why not?",B11 What is/are the biggest challenge/s you face when looking for friends on Bumble? ,B12 What is the main reason you're seeking new friends right now?,B13 Have you ever met any of your BFF match in person?,B14 Estimate how many friends (may it be real life or online) you've made over the course of your Bumble BFF use?,B15 Share what learning experience/s you've learned by using Bumble to find a friend/s as a student. ,"C1 When finding people in Bizz on Bumble, do you have a specific goal in mind? (Select one/all that apply)",C2 Do you use your real name when creating a professional account in Bumble Bizz?,"C3 On the previous question, briefly explain why you do/do not use your real name? ",C4 How many matches (on average) do you typically make in a week?,C5 How do you approach the swiping feature on Bumble personally? ,C6 What type of people do you usually look for in Bumble Bizz?,C7 How often do you reach out to new contacts on Bumble for business purposes?,C8 What is/are the biggest challenge/s you face when looking for professionals in Bumble?,C9 What do you believe is the biggest advantage of using Bumble for your networking goals?,C10 Have you ever secured a Bumble business contact over the course of your Bumble Bizz usage?,"C11 From the previous question, can you estimate how many matches you've made so far?",C12 Do you find your conversations on Bumble Bizz leads to follow-ups or further networking opportunities on other platforms or face-to-face meetups?,"C13 In a scale of 1 to 5, rate on how Bumble Bizz affected your self-confidence","C14 In a scale of 1 to 5, rate on how Bumble Bizz helped you in your career growth.",C15 Share what learning experience/s you've learned by using Bumble to find professional connections.
4/29/2025 14:55:11,21,Gay,Male,Laguna,Naghahanap ng cute,Rarely,More than a year,No,None,2,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,Because I'm not a catfish.,"I'm not sure, I don't count it","Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Scary if not same age,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,No,"Because I'm not looking for anything, plus even having a conversation there is hard. Whenever I'm proactive in chatting, it falls onto me to carry the conversation.","Finding genuine connections, Not my type",Bland in text.,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,Just find one through a friend of a friend. Physical is better.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 15:22:01,25,Heterosexual (straight),Male,Laguna,Looked for a relationship,Once a day,More than a year,Yes,"Premium, Spotlight, Superswipe",3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",Yes,For transparency,2,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I look at how alike we are before swiping to facilitate easier, more fun conversations","Same University/College, Same Location, Same Interests, Different Age",Women,No,Because women make the first move,"Geographic distance, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches","Not showing interest despite swiping, ghosting",4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,To appear shallow in order to have conversations that deepen understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 15:28:19,22,Heterosexual (straight),Female,Laguna,Validation,Rarely,Less than a month,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,"I should’ve not used my real name, but i did because of the “you cannot change this later”",10,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer people who are within my age range to relate to each other,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,No,I feel shy to initiate conversations because i’m not so confident with my conversational skills,"Finding genuine connections, Not my type",I don’t know because I don’t interact with people I match with,3 - No Impact,5 - Very Positively Improved my self-confidence,You can find people who are attracted to you in Bumble but the connection still depends on you both.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 15:40:29,19,Heterosexual (straight),Male,Rizal,To realize my full potential,Several times a day,Less than a month,Yes,"Premium, Premium+",3,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",Yes,Transparency,50,Strategic swiping - I swipe based on specific type or checklist in mind,I prefer older women,"Same University/College, Same Location, Same Interests, Different Age",Women,No,That’s the feature that sets Bumble apart so why would I,Geographic distance,Illiteracy,5 - Very Positively Improved my social life,5 - Very Positively Improved my self-confidence,"It could lead to genuine connections. However, it still mainly remains as a short-term-fun platform.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 22:31:57,23,Heterosexual (straight),Male,Metro Manila,Improve chat skills ,Once a day,6-12 months,Yes,Premium,3,Dating,"Fun, casual dates",Yes,Second name is less known so not too obvious,3,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Same age,"Same Age, Same Location, Same Interests",Women,Yes,To test the waters,"Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",One liner reply,3 - No Impact,3 - No Impact,Confidence is key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2025 0:10:17,20,Heterosexual (straight),Female,Rizal,I wanted to see if it would be easier to find connections using bumble than if i were to let it find me,Rarely,6-12 months,Yes,See likes,3,Dating,"Ethical Monogamy, Fun, casual dates, Life partner, Long-term relationship",Yes,I didn't know people didn't use their real names ,1,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",to see if we have similar interests or they have what i look for in a partner,"Same Age, Same Interests",Men,No,I'm inexperienced when it comes to dating and would often expect other people to do it instead ,"Geographic distance, Not enough matches, Not my type",None,3 - No Impact,4 - Somewhat positively improved my self-confidence,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2025 21:42:26,24,Gay,Non-binary,Laguna,Talking with random guys.,Several times a day,3-6 months,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",No,using real names might pose security issues.,5,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"Different age, older guys tend to be more committed in looking for a stable relationship.","Same University/College, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,No,"wala, pa-princess lang hahaha. Pero on a serious note, if the other party makes the first move first, that’s when I know they’re interested.","Finding genuine connections, Geographic distance, Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type","getting you hooked to a conversation then, ghosting the next day. Well to be fair, I also do this, I guess this is the downside of having meet these people online, the uncertainties of maintaining conversations and connections just wears thin by day.",3 - No Impact,3 - No Impact,"Real connections start once you meet the person face-to-face. In the online world, anyone can be anyone. One thing I’ve learned from my previous Bumble fling (which cheated on me) is that… “Stop looking for the right person, be the right person.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2025 9:38:50,19,Gay,Male,Laguna,Meet new people,Few times a week,1-3 months,No,None,3,BFF,,,,,,,,,,,,,,,,"Couple friends, People to meet in real life",Yes,I'm an open book,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","Same age, so we can grow together",Same University/College,Men,Yes,Because waiting will lead no results,Matches that don't respond,Bored,No,1,People are so picky,,,,,,,,,,,,,,,
5/3/2025 0:09:34,18,Gay,Non-binary,Laguna,I need to put myself out there more. I'm sick and tired of being on the sidelines. I wanna be in the spotlight for once in my life,Few times a week,Less than a month,No,None,2,Dating,"Fun, casual dates",Yes,It's just easier that way,4 to 6 maybe,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I dont really mind the age that much cause Im already on my 18th and Its more important for me to know if we have the same vibes,"Same Interests, Different University/College, Different Age",Men,Yes,Life's too short to wait around,"Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type",Dry texters and smokers,3 - No Impact,4 - Somewhat positively improved my self-confidence,It's better to find people in real life to date than in a dating up but welp I have no social life so bumble it is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2025 20:09:13,20,Heterosexual (straight),Female,Laguna,To find dates,Rarely,More than a year,Yes,Premium,3,Dating,"Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",Yes,I don't want to lie.,2,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Different Age, prefer dating someone older","Same University/College, Same Location, Same Interests",Men,Yes,the person is relly interesting ,"Finding genuine connections, Having similar relationship goals, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type",Does not know how to carry a conversation ,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,Not an effective way to date.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2025 18:34:39,22,Bisexual,Male,Laguna,I use bumble to look for some genuine connections.,Several times a day,More than a year,Yes,"Boost, Compliment, Spotlight, Superswipe",4,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",Yes,I use my real name just because I wanted to and I've got nothing to hide or lose when using bumble.,20,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"The ""Same Age/Different Age"" preference allows users to filter potential matches based on age similarity. People might choose ""Same Age"" for shared life experiences, cultural references, and similar life stages, while ""Different Age"" may prefer for variety, maturity differences, or personal attraction to specific age groups.","Same Degree Program, Same Age, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,Yes,I do it because I'm interested in knowing that person.,"Finding genuine connections, Matches that don't respond","I dislike people with ""no substance"" or who are ""bland"" in conversation",4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,"As a student, it helped me improve my communication skills by learning how to start engaging conversations and maintain interest with different personalities. I also became more resilient and patient when faced with ghosting or unresponsive matches, realizing that not every connection will work out—and that’s okay. These experiences taught me to be more confident in expressing myself and more accepting of the natural flow of dating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2025 19:26:29,21,Heterosexual (straight),Female,Batangas,for fun and to meet other people,Few times a month,3-6 months,No,None,3,Dating,"Fun, casual dates",No,I prefer to use my nickname,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I want to meet people who has the same interest like mine so we can easily start a conversation,"Same Location, Same Interests, Different University/College, Different Degree Program, Different Age",Men,Yes,Afaik woman is the first one who should sending a message,"Geographic distance, I am not their type, Matches that don't respond",When they are committed or they are not saying their true info about themselves ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,I got to experience interacting with different people and got to know how to approach them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2025 20:51:05,23,Bisexual,Male,Batangas,to meet new people and find a crush??? ,Rarely,Less than a month,No,None,2,Dating,"Fun, casual dates, Long-term relationship",Yes,it's hard to lie? altho it's embarrassing if I'm gonna be seen by people whom I know,0 HAHA,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","diff age, I tend to be attracted to someone slightly older than me","Same University/College, Same Degree Program, Same Location, Same Interests, Different University/College, Different Degree Program, Different Interests","men, women",Yes,"If the person really caught my attention, I will do the first move","Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches","attitude, behavioe, communication skills",3 - No Impact,2 - Somewhat negatively affected my self-confidence,it's easier to find a match if you're conventionally attractive or economically rich :'(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2025 21:59:59,21,Heterosexual (straight),Female,Laguna,To interact with people same with my interest ,Few times a month,More than a year,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment",No,For privacy reasons,20,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I would like my date will be older than me because I believe that someone with more life experience can offer a different level of maturity and perspective,"Same Interests, Different Age",Men,No,Because I want them to be the one who will approach me first ,"Finding genuine connections, Having similar relationship goals",Horny ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"I learned to be more cautious and discerning, since not everyone on the app shares the same level of sincerity. At the same time, it helped me understand the importance of setting personal boundaries and recognizing red flags early.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2025 0:02:47,23,Heterosexual (straight),Male,Cavite,Have fun,Few times a week,Less than a month,No,None,3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",Yes,Name is name,15,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Not too much,"Same Age, Same Location, Same Interests, Different Degree Program, Different Age, Different Location, Different Interests",Women,No,"In my time, this is not applicable","Finding genuine connections, I am not their type, Matches that don't respond, Not my type",Boring,3 - No Impact,3 - No Impact,Love is love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2025 0:57:36,29,Heterosexual (straight),Male,Laguna,Find someone who matches my interests,Several times a day,Less than a month,Yes,Boost,4,Dating,"Fun, casual dates, Intimacy, without commitment",No,Searchable on other social media,6,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Different Age, somehow one can lead (never actually matched to same age with same interest)",Same Interests,Women,Yes,"Bumble depends on if there is an opening move or not and from that, either you first move (if match does not have opening move) or first chat (if match does have opening move) in my experience (not really sure).",Matches that don't respond,cold replys or no topic,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,"Show the best that you got to get peoples attention and be your real you so that when matched, expectations are matched.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2025 21:43:18,22,Heterosexual (straight),Male,Laguna,Bored,Rarely,More than a year,No,None,3,BFF,,,,,,,,,,,,,,,,"Couple friends, Gaming",No,Privacy and security,1,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"Same age, better probability of doing the same things.",Same Age,Men,Yes,Less time lost.,Misaligned goals (some are looking for other various type of friendships or looking for dates in BFF etc.),Bored,No,5,It taught me how to step out of my comfort zone and confidently start conversations with people from different backgrounds. It also helped me realize the value of intentional friendships and how shared interests can lead to meaningful connections.,,,,,,,,,,,,,,,
5/11/2025 9:19:17,20,Heterosexual (straight),Male,Laguna,"To find a partner. Not just a fling or hook-up, but a partner.",Several times a day,1-3 months,Yes,"Boost, Compliment, Premium, Premium+, Spotlight, Superswipe",2,Dating,"Fun, casual dates, Long-term relationship",No,I have no particular reason in mind.,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I want to know if we'll click based in the given info on their profile. Kumbaga, gusto ko kilalanin kahit nang onti ang babaeng balak ko ipursue","Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Women,Yes,"I think it's respect na rin na you'll make the forst move. Ako kasi ang naunang mag swipe, so if nag swipe ka sa akin, parang moral obligation ko na rin yun na mag first move.",Finding genuine connections,Biggest dislike so far is there were cases na hindi kami on the same page.,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"Don't expect too much sa info nila. Don't date or meet up if wala kang money that day, we can always decline sa invites. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2025 20:08:26,22,Bisexual,Female,Metro Manila,To find a kalandian,Several times a day,3-6 months,No,None,4,Dating,"Fun, casual dates",Yes,N/A,10+ ,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Older people are more mature,"Same University/College, Same Interests, Different Age",Women,Yes,When they’re my type,"Finding genuine connections, Matches with people that ghosts or unexpectedly unmatches, Not my type",Perverts,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,The right person will come :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2025 20:13:36,20,Bisexual,Male,Metro Manila,For fun!,Several times a day,1-3 months,Yes,Premium,3,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I didn’t think being dishonest would be good,15,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",The difference in age being only ~1 year because I didn’t want to seem like a pdf or being groomed,"Same Age, Same Location, Same Interests",Women,Yes,"I don’t know, it’s just fun to see if they match the vibe","Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",People immediately asking for indecent photos,3 - No Impact,4 - Somewhat positively improved my self-confidence,"It’s good for a pastime, but genuine connections come from real life memories, in my experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2025 21:40:20,19,Heterosexual (straight),Male,Laguna,"make connections, practice socializing skills, meet people",Few times a week,1-3 months,Yes,Premium,3,Dating,"Fun, casual dates",No,name is plain as hell,3,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",ayaw sa kaedad,"Same University/College, Same Location, Same Interests, Different Age",Women,Yes,sayang match eh,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond",tipid sumagot ,3 - No Impact,4 - Somewhat positively improved my self-confidence,wag magrespond sa matches kung wala sa mood hahaha ayan maging first impression na maiiwan mo e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2025 21:45:33,20,Heterosexual (straight),Male,Laguna,"To socialize, find new friends, people of same interests.",Once a day,1-3 months,No,None,4,Dating,"Ethical Monogamy, Fun, casual dates, Life partner, Long-term relationship",No,to be mysterious??? it feels better to have your pic posted but not your real name,about 2,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I like both I think. Sometimes I prefer older women, sometimes I prefer women that is 1 or 2 years younger than me.","Same University/College, Same Age, Same Interests, Different Age",Women,No,Sometimes there are instances that they just swiped the wrong direction? So I don't message first in order for them to have time to think if they want to interact or cancel the match.,"Finding genuine connections, Geographic distance",Someone being too boastful.,3 - No Impact,3 - No Impact,"If you're interested in that person, just like them, maybe you'll be a match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 0:53:13,20,Bisexual,Female,Laguna,For fun sana.,Rarely,Less than a month,No,None,3,Dating,Long-term relationship,Yes,why lie about the names tho. we keep it real,8+,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"we like it different. char. ewan, as a girly na gusto ng older, mas maganda na may gap so we can learn from each other","Same Interests, Different University/College, Different Degree Program, Different Age",Men,No,di ko trip talaga. Habulin niya ako,"Finding genuine connections, Matches that don't respond, Not my type",Inboxed ,3 - No Impact,3 - No Impact,IT’S NOT FOR ME (ONLINE DATING IS NOT FOR ME),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 11:24:01,22,Heterosexual (straight),Male,Batangas,"trying something, which I don't usually use",Few times a month,1-3 months,No,None,2,Bizz (Business),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Investment Opportunities, Networking, Internship, Full-time job, Part-time job",No,personal privacy,3,"No swiping - I rarely swipe, I just check if someone connects with me or follow up with matches I've made.","Similar Goals, Similar Skills/Interests, Similar Industries, Entrepreneurs or founders, Similar line of job",Rarely,Not relevant to my goals or profession,very wide scope of possible networking connections,No,2,Yes,3 - No Impact,"2 - Slightly helpful, I made few connections but nothing that significantly impacted my career",n/a
5/15/2025 14:40:08,23,Heterosexual (straight),Female,Metro Manila,Dating,Several times a day,More than a year,Yes,"Premium+, Spotlight",4,Dating,"Life partner, Long-term relationship, Marriage",No,For security purposes,200+,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer someone older,"Same Interests, Different University/College, Different Degree Program, Different Age",Men,Yes,Just want to,"Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches, Not my type",Doesn't reply ,5 - Very Positively Improved my social life,4 - Somewhat positively improved my self-confidence,It's easy and you can just disconnect if you no longer want ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 14:46:00,25,Lesbian,Female,Laguna,For friends,Few times a week,1-3 months,No,None,2,BFF,,,,,,,,,,,,,,,,"Nights out, People to meet in real life, Workouts and Sports",No,Someone I know might recognize me,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer close age gap because it is easier to relate to each other's experiences,Same Interests,Women,No,unsure what to say,Misaligned goals (some are looking for other various type of friendships or looking for dates in BFF etc.),Recently moved to a new area,No,None,Better to find friends through shared activities in real life settings,,,,,,,,,,,,,,,
5/15/2025 15:26:56,21,Gay,Male,Batangas,To potentially find a partner,Rarely,More than a year,Yes,Premium,2,Dating,Long-term relationship,Yes,N/A,3-4,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I generally prefer people around my age, either two years younger or older than me. If there is a significant age gap between two parties, they may not see things eye to eye, and a lot of miscommunication and misunderstanding can easily happen. ","Same Location, Same Interests, Different University/College, Different Degree Program",Men,No,"I use it as a test of sorts to see how interested a person is in me, but what usually happens is no one starts the conversation and the match expires. ","Finding genuine connections, Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",Dry Texting,3 - No Impact,4 - Somewhat positively improved my self-confidence,"While there are a lot of fish in the sea, you are only trying to find the one fish that matches you, and finding that person is an arduous and awfully long journey. You will find a lot of people that seem to be perfect in your eyes, but once you get to know them, they are as dry as a packet of crackers. You will also find people whose whole life's goal is to play with your feelings and make you feel bad about yourself. From my experience, there are genuinely a lot of bad people in dating apps. All I can say is to not lose hope; love comes unexpectedly. You could encounter it in a myriad of ways that are not limited to a dating app, but finding that love will take a lot of time, even years, and that requires a lot of patience. While finding a person that gives a sense of security is a comforting feeling, you must not forget that feeling is not strictly tied to relationships. You can get that kind of feeling from your family members, your friends, and even yourself :^).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 16:44:21,21,Heterosexual (straight),Female,Metro Manila,Window shopping ,Rarely,Less than a month,No,None,3,Dating,"Fun, casual dates",Yes,It’s easier using my real name when I am introducing myself ,2,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Different age, since I prefer dating men older than me","Same Location, Same Interests, Different Age, Different Interests",Men,No,I’d like to see how they approach people,"Finding genuine connections, I am not their type, Matches with people that ghosts or unexpectedly unmatches, Not my type",People who only connect for the sake of intimacy ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,I finally recognized that I do have a type in men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 18:36:54,21,Bisexual,Female,Cavite,"Bored, looking for something new in my life",Once a day,Less than a month,No,None,3,Dating,"Fun, casual dates",No,I want separation from the life i have with my real name compared to the name i use in bumble,7,Selective swiping - I swipe right only on profiles that genuinely catch my interest,We can have the same interest and same respect,"Same Location, Same Interests, Different University/College, Different Degree Program",Women,Yes,usually yes because i find that person attractive,"Finding genuine connections, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",no substance ,3 - No Impact,2 - Somewhat negatively affected my self-confidence,not much actually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 19:17:21,21,Heterosexual (straight),Female,Bulacan,i used bumble to have someone to talk to ,Several times a day,3-6 months,No,None,3,Dating,"Fun, casual dates, Long-term relationship",Yes,just first name only,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",i chose guys samew my  age or older than me ,"Same Interests, Different University/College, Different Age, Different Location",Men,Yes,that’s how the app work. girls do the first move,"Finding genuine connections, Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",plain profile that has no details ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,not to meet up right away ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 19:24:04,21,Bisexual,Male,Metro Manila,"Fun, casual, para icheck kung nagdownload ulit siya",Rarely,More than a year,No,None,3,Dating,"Fun, casual dates",No,Safety and for lowkey purposes (not necessarily needed to know it immediately),more than 10,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I don’t have preference in age as long it ranges 19-25, not too young and not too old for my age","Same Age, Same Interests, Different Degree Program",Men,Yes,"If the person is really my type, i do first move",Finding genuine connections,"Typings, substance-less, low comprehension",2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,inorganic relationship won’t work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2025 11:46:33,20,Pansexual,Female,Laguna,For clout,Rarely,Less than a month,No,None,2,BFF,,,,,,,,,,,,,,,,Gaming,Yes,My profile already had my face in it so why not,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",I don't use the app seriously,Same Interests,Women,No,I'm too lazy,Communication consistency,Bored,No,0,Its not effective,,,,,,,,,,,,,,,
5/20/2025 19:50:44,21,Heterosexual (straight),Male,Metro Manila,Just because im bored,Several times a day,More than a year,Yes,Unlimited Swipes,3,Dating,"Fun, casual dates, Intimacy, without commitment",No,I just prefer it that way,4-5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",No preference at all,"No preferences at all, its just a matter of ""if i like u, i like u""",Women,Yes,Its easier to filter out if they want to reply or not,Not my type,the way ppl's attitudes are,4 - Somewhat positively improved my social life,3 - No Impact,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025 10:06:03,24,Heterosexual (straight),Male,Metro Manila,Practice dating,Few times a week,1-3 months,No,None,3,Dating,"Fun, casual dates",Yes,There's no point faking my name,I don't check but maybe less than 10?,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I don't feel comfortable dating someone far from my age ,Same Age,Women,Yes,Practicing my communication skills,"Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",Bland personality,3 - No Impact,3 - No Impact,It's hard to find genuine connection online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025 10:19:30,18,Heterosexual (straight),Female,Laguna,To date,Once a day,Less than a month,Yes,"Boost, Superswipe",3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",No,Privacy safety,below 20,Selective swiping - I swipe right only on profiles that genuinely catch my interest,i don't really mind the age difference basta hindi masyadong malayo yung age ,"Same Age, Same Interests, Different Age",Men,No,"If they're really interested, they'll make the first move lalo na pede na magfirst move ang lalake ngayon sa bumble",Matches that don't respond,Ikaw lang nagdadala sa usapan ,3 - No Impact,4 - Somewhat positively improved my self-confidence,"minsan hindi ikaw ung problema, sila talaga ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2025 18:54:56,19,Gay,Male,Metro Manila,"Basically to have fun, expand my network, meet new people with same humor, stand, interests and such.",Few times a week,More than a year,Yes,Premium,3,BFF,,,,,,,,,,,,,,,,"Gaming, People to meet in real life",Yes,I just don’t want to pretend and I also don’t want them to feel thay they’re being lied to.,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","I don’t actually look at age, I think it doesn’t matter since I only want to make new friends.",Same Interests,Men,No,I’m just too lazy to chat.,Finding common interests,Bored,No,5,"Don’t limit yourself to people around you, learn to explore while also learning from other people. It taught me to be confident and not to be afraid to socialize while also being careful about my actions and words.",,,,,,,,,,,,,,,
